Iteration 0: x=34.151977164792044, y=-77.86698268629279, yaw=-0.2110571583433766, v=0.1, steer_angle=0.0, target_idx=2, distance_to_target=0.5641261384700457, cte=-0.0000, heading_error=0.00°
Iteration 59: x=34.15197876635512, y=-77.86693516431737, yaw=2.224963450070874, v=1.6939396470876735, steer_angle=-0.17368748638132275, target_idx=16, distance_to_target=1.0621863199755106, cte=0.5261, heading_error=-4.85°
Iteration 60: x=34.15197782935365, y=-77.86693368771753, yaw=2.322129251962734, v=1.70924266473329, steer_angle=0.18727058144914682, target_idx=17, distance_to_target=0.8924902664445521, cte=0.3567, heading_error=0.35°
Iteration 61: x=34.1519767692854, y=-77.86693231636075, yaw=2.2449279602702137, v=1.7237805314966255, steer_angle=-0.1481923456572088, target_idx=17, distance_to_target=1.2585089784424484, cte=0.7222, heading_error=-5.46°
Iteration 62: x=34.15197579213416, y=-77.86693083854814, yaw=2.3228085845292554, v=1.7375915049217943, steer_angle=0.14830642597076898, target_idx=17, distance_to_target=1.0858225610492693, cte=0.5496, heading_error=-1.05°
Iteration 63: x=34.151974714721234, y=-77.86692944665018, yaw=2.198235478084207, v=1.7507119296757045, steer_angle=-0.2328821823497166, target_idx=18, distance_to_target=0.9122700415423014, cte=0.3771, heading_error=-4.72°
Iteration 64: x=34.15197380334167, y=-77.86692792803892, yaw=2.4270877634407135, v=1.7231763331919194, steer_angle=0.41676221618128106, target_idx=18, distance_to_target=1.2733830279004605, cte=0.7369, heading_error=1.29°
Iteration 65: x=34.151972668842006, y=-77.86692673892107, yaw=2.0370311637095684, v=1.6670175165323236, steer_angle=-0.662394592264998, target_idx=18, distance_to_target=1.1019905064024804, cte=0.5663, heading_error=-10.81°
Iteration 66: x=34.15197201534164, y=-77.86692516972501, yaw=2.6139590686027057, v=1.6136666407057074, steer_angle=0.8726646259971648, target_idx=19, distance_to_target=0.9359612745159085, cte=0.3997, heading_error=10.59°
Iteration 67: x=34.15197079874788, y=-77.8669243130278, yaw=2.0551517766208773, v=1.5629833086704221, steer_angle=-0.8726646259971648, target_idx=19, distance_to_target=1.317230850769492, cte=0.7816, heading_error=-21.33°
Iteration 68: x=34.15197016328445, y=-77.86692285361474, yaw=2.596744486336962, v=1.514834143236901, steer_angle=0.8726646259971648, target_idx=19, distance_to_target=1.1676903363470705, cte=0.6309, heading_error=8.64°
Iteration 69: x=34.15196903141359, y=-77.86692202471406, yaw=2.0715056297733336, v=1.469092436075056, steer_angle=-0.8726646259971648, target_idx=19, distance_to_target=1.0208775291758558, cte=0.4855, heading_error=-20.40°
Iteration 70: x=34.15196841486006, y=-77.86692066323563, yaw=2.4977722763826966, v=1.425637814271303, steer_angle=0.783729818624751, target_idx=20, distance_to_target=0.87975627122748, cte=0.3429, heading_error=7.29°
Iteration 71: x=34.15196741736502, y=-77.86691975861638, yaw=2.0028289327839937, v=1.3843559235577378, steer_angle=-0.8726646259971648, target_idx=20, distance_to_target=1.277394611152765, cte=0.7409, heading_error=-15.99°
Iteration 72: x=34.15196690994801, y=-77.86691842880371, yaw=2.4837508915361095, v=1.345138127379851, steer_angle=0.8726646259971648, target_idx=20, distance_to_target=1.1415045654486198, cte=0.6046, heading_error=11.13°
